,Position,Company Name,Location,Start Date,CTC (Annual),Experience,Posted Ago,Role
0,Junior Interior Designer,Dexterio Private Limited,Jaipur,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,3 weeks ago,Job
1,Business Development Representative - B2B SaaS,Zylu Business Solutions Private Limited,Bangalore,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,1 day ago,Job
2,Corporate Sales Specialist,Hot Stuffs Private Limited,Mumbai,Starts Immediately,"₹ 2,10,000 - 3,00,000",0-2 years,6 days ago,Job
3,Career Guidance Expert - Sales,NxtWave Disruptive Technologies Private Limited,Work from home,Starts Immediately,"₹ 3,00,000 - 6,00,000",0-5 years,2 weeks ago,Job
4,Video Content Creator,ReThought Technologies Private Limited,Delhi,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 weeks ago,Job
5,SEO And Google Ads Executive,HireDesigners,Noida,Starts Immediately,"₹ 2,00,000 - 3,60,000",0-2 years,2 weeks ago,Job
6,Social Media Marketing Manager,ReThought Technologies Private Limited,Delhi,Starts Immediately,"₹ 2,00,000 - 3,50,000",0-2 years,2 weeks ago,Job
7,Operations Associate,Tyke Technology Private Limited,Mumbai,Starts Immediately,"₹ 2,40,000 - 2,70,000",0-2 years,1 week ago,Job
8,Business Development Associate (International Sales),Internshala,Gurgaon,Starts Immediately,"₹ 3,60,000 - 4,00,000",0-2 years,4 days ago,Job
9,Social Media Executive,Zivaya Wellness Private Limited,Indore,Starts Immediately,"₹ 2,00,000 - 4,20,000",0-2 years,Just now,Job
10,Senior Content Writer,Zivaya Wellness Private Limited,Indore,Starts Immediately,"₹ 2,00,000 - 4,80,000",0-2 years,Just now,Job
11,HR Executive,Zivaya Wellness Private Limited,Indore,Starts Immediately,"₹ 2,00,000 - 3,60,000",0-2 years,Just now,Job
12,Digital Marketing Executive,Zivaya Wellness Private Limited,Indore,Starts Immediately,"₹ 2,00,000 - 4,80,000",0-2 years,Just now,Job
13,Business Development Manager,Zivaya Wellness Private Limited,Indore,Starts Immediately,"₹ 2,00,000 - 4,80,000",0-2 years,Just now,Job
14,Business Development Executive,Empirical F & M Academy,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,Just now,Job
15,Dealer (Broking Industry),Zigsaw Consultancy,"Vijayawada, Cochin, Visakhapatnam, Bangalore, Hyderabad, Coimbatore, Madurai",Starts Immediately,"₹ 3,00,000 - 5,50,000",1-4 years,Just now,Job
16,Human Resources (HR) Manager,MoLog Media & Advertising,Gurgaon,Starts Immediately,"₹ 5,00,000 - 6,00,000",3-5 years,Just now,Job
17,Associate Video Editor,Sarkariexam360,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,Just now,Job
18,Business Development Executive,DMatic Digital Private Limited,Pune,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2 years,Just now,Job
19,Music Tracker,Saregama India Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 2,16,000",0-2 years,Just now,Job
20,Sales Support Executive,IPMovers IT Private Limited,Indore,Starts Immediately,"₹ 2,00,000 - 2,60,000",0-2 years,Just now,Job
21,Brand Development Strategist,Envision Next LLP,Navi Mumbai,Starts Immediately,"₹ 2,40,000 - 4,20,000",0-2 years,Just now,Job
22,Subject Matter Expert - Economics/Accounts,ProBrain,Moradabad,Starts Immediately,"₹ 2,20,000",0-2 years,Just now,Job
23,Advocate,Anuj Raval,Mumbai,Starts Immediately,"₹ 2,00,000",0-2 years,Just now,Job
24,Telephonic Admissions Counselor,MILLENNIUM WORLD SCHOOL BENGALURU NORTH,Bangalore,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,Just now,Job
25,Junior Lead Generation Executive,Helloworld Technologies India Private Limited,Bangalore,Starts Immediately,"₹ 2,60,000 - 3,00,000",0-2 years,Just now,Job
26,Field Sales Manager,Daily Flowers India Private Limited,Bhubaneswar,Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2 years,Just now,Job
27,Admissions Counselor,MILLENNIUM WORLD SCHOOL BENGALURU NORTH,Bangalore,Starts Immediately,"₹ 3,25,000 - 3,50,000",0-2 years,Just now,Job
28,Receptionist,MILLENNIUM WORLD SCHOOL BENGALURU NORTH,Bangalore,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,Just now,Job
